time,price,fundamental_value,log_return,fundamental_shock,log_mispricing,sentiment,optimists,pessimists,fundamentalists
115,95.8642,94.7927,0.0145318,-0.00610009,0.00329205,0.00187697,33094,32970,33936
116,94.1287,95.3199,-0.0182691,0.00554642,-0.00569338,0.00374033,33142,32895,33963
117,96.3199,95.3673,0.0230112,0.0004963,0.0130721,0.00440916,33145,32854,34001
118,94.2353,95.2275,-0.0218798,-0.00146605,-0.0114052,0.0082552,33282,32737,33981
119,96.1053,94.9528,0.0196502,-0.0028895,0.00758506,0.00570719,33217,32840,33943
120,93.4741,94.2521,-0.0277608,-0.00740639,-0.0194715,0.0053612,33192,32838,33970
121,95.7068,94.8083,0.0236055,0.00588408,0.0141734,0.00138006,33015,32924,34061
122,93.7775,94.889,-0.0203641,0.000850458,-0.00858163,0.0035076,33044,32813,34143
123,93.4711,94.1168,-0.00327326,-0.00817117,0.00361128,0.0029452,33032,32838,34130
124,94.1078,93.3202,0.00678819,-0.00850056,-0.00161603,0.00201879,33007,32874,34119
125,92.2896,93.3973,-0.0195085,0.000826764,-0.00757745,0.00382421,33074,32822,34104
126,94.9845,94.2298,0.0287822,0.00887388,0.0208049,-0.00166991,32881,32991,34128
127,96.2867,94.7956,0.0136165,0.00598581,-0.00199143,0.000303463,32963,32943,34094
128,94.1847,95.2278,-0.0220726,0.00454956,-0.0110583,-0.000531019,32938,32973,34089
129,96.4697,95.5703,0.0239715,0.00359023,0.0146045,-0.00374532,32851,33098,34051
130,97.8048,96.0795,0.0137441,0.00531343,-0.00405358,-0.000924537,32959,33020,34021
131,94.8893,95.6528,-0.0302622,-0.00445062,-0.0222483,0.00140903,33048,32955,33997
132,96.8447,95.7328,0.0203975,0.000835559,0.0088495,0.000469505,33029,32998,33973
133,94.1551,94.9339,-0.0281656,-0.00837983,-0.0199278,0.00787473,33213,32694,34093
134,96.2555,95.2693,0.0220628,0.00352623,0.011764,0.00236485,33061,32905,34034
135,97.417,95.8632,0.0119944,0.00621534,-0.00408346,0.00614111,33177,32772,34051
136,95.1477,96.1096,-0.0235699,0.00256683,-0.0135111,0.00582224,33169,32785,34046
137,97.1732,96.1208,0.0210647,0.000116645,0.0101755,0.00289583,33074,32883,34043
138,94.6462,95.4862,-0.0263497,-0.00662387,-0.0175131,0.00753247,33239,32742,34019
139,97.0773,96.2246,0.0253625,0.00770283,0.0165394,0.0101163,33300,32633,34067
140,95.1386,96.2561,-0.0201731,0.000327581,-0.00849545,0.0145855,33459,32497,34044
141,97.3734,96.4405,0.0232177,0.00191346,0.0135911,0.00970314,33299,32659,34042
142,95.5767,96.8293,-0.0186233,0.00402364,-0.00560299,0.014184,33463,32527,34010
143,97.7841,96.8271,0.0228327,-2.30455e-05,0.0129973,0.00935742,33277,32660,34063
144,95.1237,95.9149,-0.0275844,-0.00946543,-0.0193009,0.0142738,33433,32492,34075
145,97.0081,95.8614,0.0196171,-0.000557817,0.00772574,0.010207,33304,32631,34065
146,98.4775,96.6292,0.0150333,0.0079771,-0.00391426,0.0139392,33424,32505,34071
147,96.1117,97.0165,-0.0243165,0.00400078,-0.0149468,0.0144545,33442,32489,34069
148,98.3344,97.3723,0.0228625,0.00366013,0.0130298,0.0118696,33375,32592,34033
149,99.7914,97.9213,0.0147076,0.00562294,-0.00420973,0.0156186,33521,32490,33989
150,97.1035,97.9306,-0.0273043,9.42379e-05,-0.0188231,0.0147395,33493,32520,33987
151,98.9598,97.7199,0.0189368,-0.00215333,0.00632791,0.0126724,33443,32606,33951
152,96.5085,97.3916,-0.0250829,-0.00336509,-0.015974,0.0140231,33516,32589,33895
153,98.3954,97.2178,0.0193624,-0.00178665,0.00732226,0.010357,33412,32727,33861
154,96.2375,97.247,-0.0221741,0.000300525,-0.0117396,0.015007,33581,32588,33831
155,94.7933,96.0646,-0.0151211,-0.012233,-0.00179851,0.0097149,33415,32772,33813
156,97.1741,96.2986,0.0248054,0.00243276,0.0157554,0.00826771,33354,32807,33839
157,95.2357,96.369,-0.0201487,0.000730407,-0.00831962,0.0106793,33455,32748,33797
158,97.2656,96.2143,0.0210902,-0.00160609,0.0102229,0.00385109,33235,32980,33785
159,95.3066,96.4155,-0.0203463,0.00208912,-0.00877813,0.00889177,33415,32826,33759
160,94.3493,95.603,-0.0100952,-0.00846308,0.00310508,0.00579535,33322,32938,33740
161,96.2344,95.0783,0.0197835,-0.00550354,0.00769676,0.00779456,33358,32842,33800
162,94.3096,95.4263,-0.0202045,0.00365396,-0.00843274,0.0109332,33426,32703,33871
163,96.4866,95.528,0.0228209,0.00106535,0.0128371,0.00566799,33268,32893,33839
