time,price,fundamental_value,log_return,fundamental_shock,log_mispricing,sentiment,optimists,pessimists,fundamentalists
85,108.504,109.49,-0.0260747,-0.00525304,-0.0170294,0.0124645,16733,16321,16946
86,110.625,109.326,0.0193582,-0.00149887,0.00754637,0.0114191,16696,16319,16985
87,108.412,109.753,-0.0202041,0.00389647,-0.00791541,0.0128636,16732,16307,16961
88,110.495,109.159,0.0190321,-0.00542375,0.00686496,0.0107416,16702,16347,16951
89,109.794,110.439,-0.00636806,0.011658,-0.000509176,0.0112482,16722,16350,16928
90,112.379,111.384,0.0232748,0.00851967,0.0143785,0.010977,16716,16353,16931
91,110.284,111.785,-0.0188194,0.00359282,-0.00530346,0.0125397,16755,16340,16905
92,112.411,111.055,0.0191059,-0.00654834,0.00696758,0.0119026,16748,16354,16898
93,109.952,111.149,-0.0221198,0.000844457,-0.0112938,0.0122047,16753,16349,16898
94,108.281,110.385,-0.0153203,-0.00689694,0.00392901,0.00815316,16693,16423,16884
95,111.971,111.189,0.0335185,0.00726073,0.02651,0.00613163,16655,16452,16893
96,109.881,111.398,-0.0188423,0.00187238,-0.00513611,0.0128163,16793,16368,16839
97,112.855,111.935,0.0267045,0.0048136,0.0185198,0.0106749,16758,16404,16838
98,110.28,111.415,-0.0230856,-0.00466385,-0.0128485,0.0131131,16804,16369,16827
99,112.619,111.41,0.0209856,-3.66287e-05,0.0102005,0.00696433,16700,16469,16831
100,110.267,111.539,-0.0211062,0.00115614,-0.00962903,0.00642553,16681,16468,16851
101,113.415,112.534,0.0281556,0.0088773,0.0203545,0.00594322,16672,16475,16853
102,110.557,111.562,-0.0255219,-0.00867442,-0.0164756,0.0051876,16664,16492,16844
103,112.953,111.767,0.0214339,0.00183312,0.0108795,0.00537018,16662,16484,16854
104,110.603,111.873,-0.0210248,0.000947208,-0.00960722,0.00389434,16627,16498,16875
105,112.952,111.758,0.021019,-0.00102496,0.0103926,-0.000211359,16556,16563,16881
106,110.162,111.199,-0.0250109,-0.00501449,-0.0156408,0.00280924,16599,16506,16895
107,108.454,110.055,-0.0156284,-0.0103455,-0.000975386,-0.00290381,16482,16578,16940
108,110.757,109.592,0.0210115,-0.00420866,0.0104443,-0.00281077,16497,16590,16913
109,108.588,110.021,-0.0197725,0.00390214,-0.00666505,-0.00544103,16451,16631,16918
110,111.117,110.08,0.0230248,0.000539777,0.0136472,-0.00764466,16421,16674,16905
111,107.761,108.62,-0.0306736,-0.0133495,-0.0227272,-0.00417019,16477,16615,16908
112,109.767,108.44,0.0184497,-0.00166602,0.0062804,-0.00242145,16479,16559,16962
113,106.935,107.904,-0.0261445,-0.00494985,-0.0171191,0.00523402,16613,16440,16947
114,109.836,108.953,0.0267677,0.00967542,0.0187008,0.0024472,16590,16509,16901
115,107.381,108.512,-0.0225992,-0.00405482,-0.0121217,0.00719164,16666,16428,16906
116,109.733,108.646,0.0216622,0.0012311,0.0117085,0.00154242,16558,16507,16935
117,107.578,108.938,-0.0198363,0.00268232,-0.00727132,0.00462501,16617,16464,16919
118,110.477,109.588,0.0265914,0.00594855,0.0185135,0.00148148,16562,16513,16925
119,108.315,109.656,-0.0197578,0.000622404,-0.00745552,0.00742754,16683,16437,16880
120,110.873,109.86,0.0233388,0.00186103,0.0141633,0.00271838,16599,16509,16892
121,110.004,110.423,-0.00786966,0.00510689,-0.00406857,0.00389999,16603,16474,16923
122,108.435,109.852,-0.0143672,-0.00518666,-0.00138557,-0.000271813,16551,16560,16889
123,111.123,110.254,0.024486,0.00365331,0.0166349,0.00108906,16546,16510,16944
124,108.896,110.251,-0.0202388,-1.99314e-05,-0.00787095,0.00175311,16571,16513,16916
125,111.795,110.877,0.0262758,0.00565425,0.0180221,-0.000302133,16544,16554,16902
126,109.429,110.647,-0.0213959,-0.00207016,-0.0103238,0.00154055,16578,16527,16895
127,111.646,110.381,0.0200579,-0.00241241,0.00865966,-0.000784456,16559,16585,16856
128,109.211,110.384,-0.0220513,3.28546e-05,-0.0113654,0.00114686,16586,16548,16866
129,112.024,111.062,0.0254271,0.00611916,0.0168051,-0.00280382,16538,16631,16831
130,109.831,111.194,-0.019763,0.00118841,-0.00743366,-0.0011153,16569,16606,16825
131,111.932,110.553,0.0189446,-0.0057839,0.00654539,-0.00328185,16552,16661,16787
